Acupuntura                                    ;
Alergia e imunologia                          ;
Anestesiologia                                ;
Angiologia                                    ;
Cancerologia                                  ;
Cardiologia                                   ;
Cirurgia cardiovascular                       ;
Cirurgia da mão                               ;
Cirurgia de cabeça e pescoço                  ;
Cirurgia do aparelho digestivo                ;
Cirurgia geral                                ;
Cirurgia pediátrica                           ;
Cirurgia plástica                             ;
Cirurgia torácica                             ;
Cirurgia vascular                             ;
Clínica médica                                ;
Coloproctologia                               ;
Dermatologia                                  ;
Endocrinologia e metabologia                  ;
Endoscopia                                    ;
Gastroenterologia                             ;
Genética médica                               ;
Geriatria                                     ;
Ginecologia e obstetrícia                     ;
Hematologia e hemoterapia                     ;
Homeopatia                                    ;
Infectologia                                  ;
Mastologia                                    ;
Medicina de emergência                        ;
Medicina de família e comunidade              ;
Medicina do trabalho                          ;
Medicina de tráfego                           ;
Medicina esportiva                            ;
Medicina física e reabilitação                ;
Medicina intensiva                            ;
Medicina legal e perícia médica               ;
Medicina nuclear                              ;
Medicina preventiva e social                  ;
Nefrologia                                    ;
Neurocirurgia                                 ;
Neurologia                                    ;
Nutrologia                                    ;
Oftalmologia                                  ;
Ortopedia e traumatologia                     ;
Otorrinolaringologia                          ;
Patologia                                     ;
Patologia clínica/medicina laboratorial       ;
Pediatria                                     ;
Pneumologia                                   ;
Psiquiatria                                   ;
Radiologia e diagnóstico por imagem           ;
Radioterapia                                  ;
Reumatologia                                  ;
Urologia                                      ;
Administração em saúde                        ;
Alergia e imunologia pediátrica               ;
Angiorradiologia e cirurgia endovascular      ;
Atendimento ao queimado                       ;
Cardiologia pediátrica                        ;
Cirurgia bariátrica                           ;
Cirurgia crânio-maxilo-facial                 ;
Cirurgia do trauma                            ;
Cirurgia videolaparoscópica                   ;
Citopatologia                                 ;
Densitometria óssea                           ;
Dor                                           ;
Ecocardiografia                               ;
Ecografia vascular com doppler                ;
Eletrofisiologia clínica invasiva             ;
Emergência pediátrica                         ;
Endocrinologia pediátrica                     ;
Endoscopia digestiva                          ;
Endoscopia ginecológica                       ;
Endoscopia respiratória                       ;
Ergometria                                    ;
Foniatria                                     ;
Gastroenterologia pediátrica                  ;
Hansenologia                                  ;
Hematologia e hemoterapia pediátrica          ;
Hemodinâmica e cardiologia intervencionista   ;
Hepatologia                                   ;
Infectologia hospitalar                       ;
Infectologia pediátrica                       ;
Mamografia                                    ;
Medicina de urgência                          ;
Medicina do adolescente                       ;
Medicina do sono                              ;
Medicina fetal                                ;
Medicina intensiva pediátrica                 ;
Medicina paliativa                            ;
Medicina tropical                             ;
Nefrologia pediátrica                         ;
Neonatologia                                  ;
Neurofisiologia clínica                       ;
Neurologia pediátrica                         ;
Neurorradiologia                              ;
Nutrição parenteral e enteral                 ;
Nutrição parenteral e enteral pediátrica      ;
Nutrologia pediátrica                         ;
Pneumologia pediátrica                        ;
Psicogeriatria                                ;
Psicoterapia                                  ;
Psiquiatria da infância e adolescência        ;
Psiquiatria forense                           ;
Radiologia intervencionista e angiorradiologia;
Reprodução assistida                          ;
Reumatologia pediátrica                       ;
Sexologia                                     ;
Toxicologia médica                            ;
Transplante de medula óssea                   ;
Ultrassonografia em ginecologia e obstetrícia ;
